,SDOstreamc,CluStream,DenStream,BIRCH,StreamKM,GT
0,0,0.0,0.0,0.0,0.0,1.0
1,0,0.0,0.0,0.0,0.0,1.0
2,0,1.0,0.0,0.0,1.0,0.0
3,0,0.0,0.0,0.0,0.0,1.0
4,0,0.0,0.0,0.0,0.0,1.0
5,0,1.0,0.0,0.0,1.0,0.0
6,0,1.0,0.0,0.0,1.0,0.0
7,0,0.0,0.0,0.0,0.0,1.0
8,0,1.0,0.0,0.0,1.0,0.0
9,0,0.0,0.0,0.0,0.0,1.0
10,0,1.0,0.0,0.0,1.0,0.0
11,0,1.0,0.0,0.0,1.0,0.0
12,0,0.0,0.0,0.0,0.0,1.0
13,0,1.0,0.0,0.0,1.0,0.0
14,0,1.0,0.0,0.0,1.0,0.0
15,0,1.0,0.0,0.0,1.0,0.0
16,1,1.0,0.0,0.0,1.0,0.0
17,1,1.0,0.0,0.0,1.0,0.0
18,1,0.0,0.0,0.0,0.0,1.0
19,1,0.0,0.0,0.0,0.0,1.0
20,1,1.0,0.0,0.0,1.0,0.0
21,1,0.0,0.0,0.0,0.0,1.0
22,1,0.0,0.0,0.0,0.0,1.0
23,1,1.0,0.0,0.0,1.0,0.0
24,1,1.0,0.0,0.0,1.0,0.0
25,1,0.0,0.0,0.0,0.0,1.0
26,1,1.0,0.0,0.0,1.0,0.0
27,1,0.0,0.0,0.0,0.0,1.0
28,1,1.0,0.0,0.0,1.0,0.0
29,1,1.0,0.0,0.0,1.0,0.0
30,1,0.0,0.0,0.0,0.0,1.0
31,1,1.0,0.0,0.0,1.0,0.0
32,1,1.0,0.0,0.0,1.0,0.0
33,1,1.0,0.0,0.0,1.0,0.0
34,1,1.0,0.0,0.0,1.0,0.0
35,1,1.0,0.0,0.0,1.0,0.0
36,1,0.0,0.0,0.0,0.0,1.0
37,1,0.0,0.0,0.0,0.0,1.0
38,1,1.0,0.0,0.0,1.0,0.0
39,1,0.0,0.0,0.0,0.0,1.0
40,1,0.0,0.0,0.0,0.0,1.0
41,1,1.0,0.0,0.0,1.0,0.0
42,1,1.0,0.0,0.0,1.0,0.0
43,1,0.0,0.0,0.0,0.0,1.0
44,1,1.0,0.0,0.0,1.0,0.0
45,2,0.0,0.0,0.0,0.0,1.0
46,1,1.0,0.0,0.0,1.0,0.0
47,1,1.0,0.0,0.0,1.0,0.0
48,3,0.0,0.0,0.0,0.0,1.0
49,1,1.0,0.0,0.0,1.0,0.0
50,1,1.0,0.0,0.0,1.0,0.0
51,1,1.0,0.0,0.0,1.0,0.0
52,1,1.0,0.0,0.0,1.0,0.0
53,1,1.0,0.0,0.0,1.0,0.0
54,3,0.0,0.0,0.0,0.0,1.0
55,3,0.0,0.0,0.0,0.0,1.0
56,1,1.0,0.0,0.0,1.0,0.0
57,3,0.0,0.0,0.0,0.0,1.0
58,3,0.0,0.0,0.0,0.0,1.0
59,1,1.0,0.0,0.0,1.0,0.0
60,1,1.0,0.0,0.0,1.0,0.0
61,3,0.0,0.0,0.0,0.0,1.0
62,1,1.0,0.0,0.0,1.0,0.0
63,3,0.0,0.0,0.0,0.0,1.0
64,1,1.0,0.0,0.0,1.0,0.0
65,1,1.0,0.0,0.0,1.0,0.0
